ned_number,ned_details_link,owner,street,city,county,state,zip,subdivision,balance_due,auction_date,status,ned_file_date,address
2026-000054,/ForeclosurePortal/Party.aspx/Index/403352?caseID=81916&attorney=False&digest=nsoQ54nfdgbd9N%2BtiLJKTFTpaO8md7jZgWrZ4JP%2B1zw,107 UNIVERSITY DRIVE 41 LLC,,,denver,CO,,,"$805,200.00",6/4/2026,OPEN,2/2/2026,"3429 N. ALCOTT STREET, DENVER, COLORADO, 80211"
2025-000272,/ForeclosurePortal/Party.aspx/Index/396002?caseID=81454&attorney=False&digest=%2FFXRgYdUMNwv3zgXnLukxFXS3ibco%2FU0qFQ8ZB7phJk,"2143 S DOWNING ST LLC, A COLORADO LIMITED LIABILITY COMPANY",,,denver,CO,,,"$749,000.00",,CLOSED,6/2/2025,"2143 SOUTH DOWNING STREET, DENVER, CO, 80210"
2025-000442,/ForeclosurePortal/Party.aspx/Index/398536?caseID=81624&attorney=False&digest=MGnDaLBLfR638doEYDK0WrUqEmrCRoa2x4WWJP02h5w,"3112 N. SPEER, LLC",,,denver,CO,,,"$685,000.00",3/19/2026,OPEN,9/5/2025,"3112 NORTH SPEER BOULEVARD, DENVER, CO, 80211"
2025-000398,/ForeclosurePortal/Party.aspx/Index/397904?caseID=81580&attorney=False&digest=SDGwmB15vdL%2B9qsXVJQkNVqX2DObcj7VpvxP9ieKHZs,"389 S LIPAN ECO, LLC A COLORADO LIMITED LIABILITY COMPANY",,,denver,CO,,,"$3,106,300.00",,CLOSED,8/12/2025,"389 S. LIPAN STREET, DENVER, COLORADO, 80223"
2026-000134,/ForeclosurePortal/Party.aspx/Index/404649?caseID=81996&attorney=False&digest=zFhgbPF8oUJ92I6iXFHhoQeGO2LdPAmdPrdo0cXdu%2BA,"3C R, LLC, A COLORADO LIMITED LIABILITY COMPANY",,,denver,CO,,,"$248,000.00",7/2/2026,CLOSED,3/5/2026,"9111 E MANSFIELD AVE, DENVER, CO, 80237"
2025-000598,/ForeclosurePortal/Party.aspx/Index/401036?caseID=81780&attorney=False&digest=IZy2RftRkNCN2qDeNnoYZCICgKkJ%2B%2Bq2ky%2FCbd1VrxI,"4765 OAKLAND LLC, A COLORADO LIMITED LIABILITY COMPANY",,,denver,CO,,,"$2,050,000.00",3/26/2026,OPEN,11/24/2025,"4765 NORTH OAKLAND STREET, DENVER, CO, 80239"
2025-000328,/ForeclosurePortal/Party.aspx/Index/396904?caseID=81510&attorney=False&digest=ovyq2WZ3oKGDXGcJFhBaNog6c3VEBDekNoB7QM%2FPOeQ,"538 E. 17TH AVENUE COMMERCIAL, LLC, AND FRANCIS E. SCHULTZ III",,,denver,CO,,,"$5,398,623.00",,CLOSED,7/8/2025,"1665 NORTH PEARL STREET, DENVER, COLORADO, 80231"
2026-000067,/ForeclosurePortal/Party.aspx/Index/403569?caseID=81929&attorney=False&digest=kFbWKJcn76MQN4Bt%2FJ97mcrOrf0%2BpEURmRnWPSsTxbA,"5542 CYCLONE VENTURES LLC, A COLORADO LIMITED LIABILITY COMPANY",,,denver,CO,,,"$410,300.00",6/4/2026,OPEN,2/4/2026,"12982 E ELGIN PLACE, DENVER, CO, 80239"
2026-000020,/ForeclosurePortal/Party.aspx/Index/402837?caseID=81882&attorney=False&digest=%2BAdFqNBtV3CSFSbTPphuVbtvDWtr3xg6mGSv5V1ALus,777 BIRCH STREET LLC,,,denver,CO,,,"$430,000.00",5/14/2026,OPEN,1/13/2026,"777 BIRCH STREET, DENVER, CO, 80220"
2025-000670,/ForeclosurePortal/Party.aspx/Index/402391?caseID=81852&attorney=False&digest=aMMCXOAy0ltCoM4ZOZG6pC4ivXlAfGvF2ur3vc2W%2B5c,"ACABO, LLC",,,denver,CO,,,"$577,000.00",4/30/2026,OPEN,12/26/2025,"3038 S XENIA CT, DENVER, CO, 80231"
